timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1774801273.564301,0.052114,-0.049300,0.074635,-0.103314,-0.218569,0.104795,-0.064642,-0.422364,-0.904118
1774801273.574367,0.059237,-0.042570,0.075698,-0.119420,-0.220158,0.117992,-0.067111,-0.421206,-0.904479
1774801273.584621,0.066186,-0.025051,0.084740,-0.118793,-0.218506,0.101369,-0.069558,-0.420033,-0.904839
1774801273.594891,0.074456,-0.022516,0.085885,-0.144993,-0.218603,0.094993,-0.071908,-0.418814,-0.905221
1774801273.608110,0.086525,-0.040335,0.089595,-0.176218,-0.218559,0.108308,-0.074272,-0.417338,-0.905711
1774801273.614555,0.095941,-0.069446,0.097947,-0.287895,-0.227032,0.137261,-0.076791,-0.415174,-0.906496
1774801273.624536,0.112516,-0.083056,0.109597,-0.410103,-0.244039,0.159475,-0.079526,-0.411862,-0.907769
1774801273.634526,0.137002,-0.081433,0.123876,-0.562305,-0.261744,0.219703,-0.082559,-0.407275,-0.909566
1774801273.644772,0.151594,-0.075986,0.134116,-0.691024,-0.257170,0.297596,-0.085905,-0.401386,-0.911872
1774801273.654688,0.166993,-0.071801,0.146905,-0.849461,-0.257214,0.391738,-0.089615,-0.394080,-0.914697
1774801273.664789,0.192618,-0.063520,0.175302,-1.031570,-0.288138,0.487411,-0.093787,-0.385057,-0.918115
1774801273.674845,0.210175,-0.042945,0.202236,-1.186828,-0.301235,0.598857,-0.098573,-0.374261,-0.922070
1774801273.684805,0.213742,-0.048817,0.224623,-1.356120,-0.320450,0.668811,-0.103756,-0.361949,-0.926406
1774801273.694995,0.220607,-0.044180,0.232385,-1.539029,-0.313753,0.760209,-0.109248,-0.347650,-0.931238
1774801273.705124,0.207504,-0.043053,0.224145,-1.720063,-0.334290,0.819358,-0.114959,-0.331413,-0.936456
1774801273.715137,0.186641,0.003418,0.213193,-1.769762,-0.342331,0.869348,-0.120952,-0.313888,-0.941724
1774801273.724995,0.127101,-0.009544,0.191446,-1.784210,-0.279710,0.929602,-0.126704,-0.295922,-0.946771
1774801273.735040,0.087578,-0.029505,0.161458,-1.817236,-0.168293,1.007430,-0.131615,-0.277456,-0.951680
1774801273.745227,0.087245,-0.027000,0.148028,-1.882638,-0.083668,1.053921,-0.135554,-0.258385,-0.956484
1774801273.755156,0.117855,0.009388,0.166992,-1.939025,-0.035815,1.098669,-0.138790,-0.238468,-0.961182
1774801273.765490,0.136461,0.005094,0.184658,-1.969139,-0.014275,1.153703,-0.141618,-0.217939,-0.965633
1774801273.775155,0.141603,-0.003892,0.178782,-1.948210,-0.023352,1.199165,-0.144258,-0.197127,-0.969706
1774801273.785382,0.152954,0.089106,0.155590,-1.843976,-0.028693,1.215175,-0.146774,-0.176768,-0.973247
1774801273.795477,0.132678,0.143520,0.127277,-1.629218,0.009466,1.218152,-0.148959,-0.157909,-0.976154
1774801273.808868,0.093169,0.140301,0.079495,-1.502528,0.081750,1.204169,-0.150283,-0.140636,-0.978589
1774801273.815681,0.039599,0.101378,0.008406,-1.373861,0.171725,1.193309,-0.150637,-0.124678,-0.980696
1774801273.825571,0.004770,0.034679,-0.070829,-1.232151,0.259620,1.181034,-0.149911,-0.110134,-0.982546
1774801273.835718,0.010301,-0.005513,-0.142609,-1.162154,0.322895,1.213430,-0.148332,-0.096614,-0.984207
1774801273.845790,0.031713,0.032417,-0.141846,-1.154199,0.385608,1.192204,-0.145834,-0.083321,-0.985794
1774801273.855681,0.048176,0.120674,-0.103611,-1.011490,0.317862,1.123404,-0.143284,-0.070976,-0.987133
1774801273.865791,0.021509,0.154672,-0.114713,-0.922809,0.303313,1.052977,-0.140970,-0.059778,-0.988208
1774801273.875870,-0.050132,0.082097,-0.159063,-0.834382,0.315636,0.999109,-0.138420,-0.049611,-0.989130
1774801273.885863,-0.114806,-0.013166,-0.239741,-0.708162,0.346870,0.888815,-0.135560,-0.040667,-0.989934
1774801273.895954,-0.126616,-0.010428,-0.329047,-0.501384,0.404776,0.775586,-0.132112,-0.033441,-0.990671
1774801273.906478,-0.121653,0.029676,-0.369457,-0.281035,0.467264,0.642040,-0.127935,-0.028700,-0.991367
1774801273.916082,-0.091789,0.049869,-0.397360,-0.105787,0.453075,0.523320,-0.123405,-0.026081,-0.992014
1774801273.926025,-0.054365,0.061054,-0.397433,0.008993,0.400462,0.380224,-0.119234,-0.025012,-0.992551
1774801273.936256,-0.015374,0.068464,-0.405252,0.061801,0.287029,0.287519,-0.115805,-0.025022,-0.992957
1774801273.946384,-0.003461,0.083698,-0.404379,0.142660,0.198034,0.219475,-0.113376,-0.025730,-0.993219
1774801273.956365,-0.019991,0.081637,-0.365747,0.178726,0.128413,0.116650,-0.111723,-0.027132,-0.993369
1774801273.966461,-0.020952,0.111790,-0.320404,0.306900,0.055662,0.055400,-0.110807,-0.029362,-0.993408
1774801273.976511,-0.028141,0.132114,-0.254641,0.432034,-0.022457,-0.043667,-0.110592,-0.033115,-0.993314
1774801273.986668,-0.042882,0.108337,-0.218727,0.475854,-0.069853,-0.083990,-0.111064,-0.037765,-0.993095
1774801273.996454,-0.071470,0.067232,-0.212297,0.465849,-0.094654,-0.130810,-0.111849,-0.042604,-0.992811
1774801274.006446,-0.072534,0.043727,-0.182453,0.453366,-0.128216,-0.157435,-0.112906,-0.047420,-0.992473
1774801274.016778,-0.038934,0.061719,-0.160502,0.420082,-0.162020,-0.192540,-0.114188,-0.051923,-0.992101
